Date,Time,User Full Name *Anonymized
2023-11-17, 00:00:00,129
2023-11-10, 00:00:01,26
2023-11-10, 00:00:02,26
2023-12-20, 00:00:02,86
2023-12-20, 00:00:03,86
2023-12-20, 00:00:03,86
2023-12-20, 00:00:06,86
2023-10-23, 00:00:08,94
2023-10-23, 00:00:08,94
2023-10-23, 00:00:10,147
2023-10-23, 00:00:10,147
2023-10-23, 00:00:10,147
2023-10-23, 00:00:10,147
2023-10-23, 00:00:10,147
2023-10-23, 00:00:11,147
2023-12-20, 00:00:12,86
2023-10-23, 00:00:13,94
2023-12-20, 00:00:13,86
2023-12-20, 00:00:13,86
2023-12-16, 00:00:15,129
2023-10-09, 00:00:19,131
2023-10-09, 00:00:19,131
2023-10-09, 00:00:19,131
2023-10-23, 00:00:21,94
2023-10-23, 00:00:21,94
2023-11-24, 00:00:22,18
2023-11-24, 00:00:22,18
2023-10-23, 00:00:34,94
2023-10-09, 00:00:35,131
2023-10-23, 00:00:35,94
2023-10-23, 00:00:35,94
2023-11-17, 00:00:39,129
2023-10-23, 00:00:40,94
2023-11-17, 00:00:43,129
2023-12-20, 00:00:46,86
2023-11-17, 00:00:47,129
2023-11-10, 00:00:48,26
2023-11-10, 00:00:48,26
2023-09-27, 00:00:51,110
2023-11-17, 00:00:51,129
2023-10-09, 00:00:52,122
2023-11-17, 00:00:55,129
2023-11-23, 00:00:56,16
2023-10-23, 00:00:59,94
2023-10-23, 00:00:59,94
2023-10-09, 00:01:00,122
2023-11-17, 00:01:00,129
2023-10-15, 00:01:03,28
2023-10-15, 00:01:03,28
2023-11-17, 00:01:04,129
2023-10-23, 00:01:07,94
2023-11-21, 00:01:07,125
2023-10-15, 00:01:08,28
2023-10-15, 00:01:08,28
2023-11-17, 00:01:09,129
2023-10-23, 00:01:10,94
2023-10-23, 00:01:10,94
2023-10-23, 00:01:10,94
2023-11-10, 00:01:11,26
2023-11-10, 00:01:11,26
2023-11-21, 00:01:12,125
2023-11-21, 00:01:12,125
2023-11-21, 00:01:12,125
2023-10-09, 00:01:20,131
2023-10-09, 00:01:25,131
2023-10-09, 00:01:25,131
2023-10-09, 00:01:25,131
2023-09-27, 00:01:27,110
2023-11-06, 00:01:32,94
2023-12-15, 00:01:32,128
2023-11-10, 00:01:39,26
2023-11-10, 00:01:39,26
2023-11-17, 00:01:39,129
2023-11-17, 00:01:43,129
2023-12-16, 00:01:43,129
2023-10-09, 00:01:45,122
2023-10-09, 00:01:45,122
2023-10-19, 00:01:49,149
2023-11-17, 00:01:49,129
2023-11-17, 00:01:59,129
2023-11-11, 00:02:00,129
2023-10-09, 00:02:05,131
2023-11-17, 00:02:05,129
2023-10-19, 00:02:09,149
2023-10-19, 00:02:09,149
2023-11-11, 00:02:10,129
2023-11-11, 00:02:10,129
2023-11-17, 00:02:10,129
2023-10-19, 00:02:13,149
2023-10-15, 00:02:15,28
2023-10-15, 00:02:15,28
2023-11-17, 00:02:15,129
2023-11-10, 00:02:16,26
2023-11-10, 00:02:16,26
2023-10-10, 00:02:28,43
2023-10-10, 00:02:30,43
2023-10-10, 00:02:31,43
2023-11-17, 00:02:32,129
2023-11-10, 00:02:34,26
2023-11-10, 00:02:34,26
2023-11-11, 00:02:38,129
2023-11-10, 00:02:39,26
2023-11-10, 00:02:39,26
2023-10-15, 00:02:41,28
2023-10-11, 00:02:51,147
2023-10-11, 00:02:51,147
2023-10-11, 00:02:51,147
2023-10-12, 00:02:53,110
2023-11-10, 00:02:53,26
2023-11-10, 00:02:53,26
2023-11-10, 00:03:00,26
2023-11-10, 00:03:00,26
2023-11-11, 00:03:00,129
2023-11-08, 00:03:01,148
2023-11-08, 00:03:01,148
2023-11-11, 00:03:01,129
2023-11-08, 00:03:02,148
2023-11-08, 00:03:02,148
2023-10-15, 00:03:13,28
2023-10-15, 00:03:14,28
2023-10-15, 00:03:15,28
2023-10-15, 00:03:15,28
2023-10-18, 00:03:15,61
2023-10-15, 00:03:16,28
2023-11-10, 00:03:26,26
2023-11-10, 00:03:26,26
2023-11-10, 00:03:36,26
2023-11-10, 00:03:36,26
2023-10-15, 00:03:39,28
2023-10-13, 00:03:40,41
2023-10-13, 00:03:41,41
2023-11-10, 00:03:44,26
2023-11-10, 00:03:44,26
2023-11-12, 00:03:44,98
2023-11-12, 00:03:44,98
2023-10-12, 00:03:47,110
2023-10-12, 00:03:47,110
2023-10-12, 00:03:51,110
2023-11-08, 00:03:51,148
2023-11-08, 00:03:52,148
2023-11-08, 00:03:52,148
2023-11-10, 00:03:52,26
2023-11-10, 00:03:52,26
2023-11-11, 00:03:52,129
2023-12-15, 00:03:53,128
2023-10-13, 00:03:55,41
2023-10-13, 00:03:55,41
2023-10-13, 00:03:55,41
2023-10-13, 00:03:55,41
2023-10-13, 00:03:55,41
2023-10-13, 00:03:55,41
2023-10-12, 00:03:56,110
2023-10-12, 00:03:56,110
2023-10-12, 00:03:56,110
2023-10-13, 00:03:56,41
2023-11-11, 00:03:58,129
2023-11-11, 00:03:58,129
2023-10-12, 00:03:59,110
2023-11-12, 00:03:59,98
2023-10-12, 00:04:05,110
2023-11-12, 00:04:05,98
2023-12-14, 00:04:05,92
2023-12-14, 00:04:05,92
2023-10-12, 00:04:06,110
2023-10-12, 00:04:06,110
2023-11-12, 00:04:06,98
2023-10-12, 00:04:09,110
2023-11-12, 00:04:09,98
2023-11-11, 00:04:10,129
2023-11-10, 00:04:12,26
2023-11-10, 00:04:12,26
2023-11-12, 00:04:12,98
2023-11-11, 00:04:17,129
2023-11-11, 00:04:17,129
2023-12-14, 00:04:17,92
2023-12-14, 00:04:20,92
2023-12-14, 00:04:20,92
2023-10-13, 00:04:21,41
2023-11-12, 00:04:21,98
2023-12-15, 00:04:27,128
2023-10-13, 00:04:28,41
2023-10-13, 00:04:28,41
2023-10-18, 00:04:28,18
2023-12-15, 00:04:32,128
2023-10-13, 00:04:35,41
2023-11-23, 00:04:37,16
2023-10-11, 00:04:43,45
2023-10-11, 00:04:44,45
2023-10-11, 00:04:44,45
2023-10-13, 00:04:46,41
2023-10-13, 00:04:46,41
2023-10-13, 00:04:52,41
2023-10-13, 00:04:52,41
2023-11-10, 00:04:54,26
2023-11-10, 00:04:55,26
2023-10-11, 00:04:57,45
2023-10-11, 00:04:57,45
2023-10-11, 00:04:59,45
2023-12-15, 00:05:00,128
2023-12-15, 00:05:00,128
2023-09-27, 00:05:01,110
2023-09-27, 00:05:06,110
2023-11-11, 00:05:13,129
2023-10-11, 00:05:14,129
2023-11-11, 00:05:14,129
2023-12-08, 00:05:15,45
2023-12-16, 00:05:15,129
2023-10-13, 00:05:17,41
2023-10-13, 00:05:18,41
2023-12-08, 00:05:18,45
2023-12-15, 00:05:18,128
2023-11-10, 00:05:20,26
2023-12-15, 00:05:20,128
2023-11-10, 00:05:21,26
2023-11-10, 00:05:27,26
2023-11-10, 00:05:27,26
2023-12-08, 00:05:27,45
2023-11-10, 00:05:30,26
2023-11-10, 00:05:30,26
2023-11-10, 00:05:30,26
2023-12-12, 00:05:33,145
2023-10-09, 00:05:35,122
2023-12-12, 00:05:36,145
2023-12-12, 00:05:42,145
2023-12-14, 00:05:43,92
2023-12-14, 00:05:43,92
2023-11-11, 00:05:46,129
2023-11-11, 00:05:46,129
2023-11-11, 00:05:46,129
2023-11-11, 00:05:46,129
2023-11-11, 00:05:46,129
2023-11-11, 00:05:46,129
2023-12-15, 00:05:54,128
2023-10-03, 00:05:56,94
2023-12-14, 00:05:57,92
2023-12-14, 00:05:57,92
2023-12-14, 00:05:57,92
2023-12-14, 00:05:57,92
2023-10-09, 00:05:58,122
2023-12-14, 00:05:58,92
2023-12-14, 00:05:58,92
2023-10-11, 00:06:01,129
2023-10-03, 00:06:04,94
2023-10-11, 00:06:08,129
2023-11-05, 00:06:11,144
2023-12-14, 00:06:11,92
2023-12-14, 00:06:11,92
2023-10-03, 00:06:12,94
2023-11-05, 00:06:14,144
2023-11-05, 00:06:15,144
2023-12-14, 00:06:15,92
2023-11-05, 00:06:17,144
2023-11-05, 00:06:17,144
2023-11-05, 00:06:17,144
2023-11-05, 00:06:18,144
2023-11-05, 00:06:19,144
2023-11-11, 00:06:19,129
2023-11-05, 00:06:20,144
2023-12-14, 00:06:21,92
2023-10-13, 00:06:24,129
2023-11-11, 00:06:24,129
2023-12-14, 00:06:24,92
2023-12-14, 00:06:24,92
2023-11-11, 00:06:25,129
2023-12-14, 00:06:28,92
2023-12-15, 00:06:28,128
2023-11-07, 00:06:30,31
2023-12-14, 00:06:30,92
2023-12-14, 00:06:30,92
2023-12-15, 00:06:31,128
2023-12-14, 00:06:33,92
2023-12-15, 00:06:34,128
2023-11-07, 00:06:36,31
2023-11-07, 00:06:36,31
2023-12-14, 00:06:38,92
2023-12-14, 00:06:38,92
2023-10-22, 00:06:39,110
2023-12-15, 00:06:39,128
2023-12-14, 00:06:42,92
2023-12-15, 00:06:42,128
2023-11-11, 00:06:45,129
2023-10-22, 00:06:52,110
2023-10-22, 00:06:52,110
2023-10-11, 00:07:12,129
2023-10-11, 00:07:12,129
2023-10-11, 00:07:12,129
2023-10-23, 00:07:21,48
2023-10-23, 00:07:21,48
2023-11-07, 00:07:28,31
2023-12-21, 00:07:30,40
2023-11-11, 00:07:32,129
2023-11-11, 00:07:32,129
2023-11-19, 00:07:32,57
2023-11-11, 00:07:42,129
2023-11-19, 00:07:42,57
2023-11-19, 00:07:42,57
2023-11-07, 00:07:46,31
2023-11-07, 00:07:47,31
2023-12-16, 00:07:47,129
2023-12-16, 00:07:47,129
2023-11-19, 00:07:49,57
2023-11-19, 00:07:49,57
2023-11-19, 00:07:49,57
2023-11-07, 00:07:50,31
2023-11-07, 00:07:50,31
2023-10-04, 00:07:52,59
2023-10-11, 00:08:02,129
2023-11-07, 00:08:05,31
2023-11-07, 00:08:05,31
2023-11-07, 00:08:05,31
2023-11-07, 00:08:05,31
2023-11-07, 00:08:05,31
2023-12-24, 00:08:05,148
2023-11-07, 00:08:06,31
2023-10-21, 00:08:38,129
2023-10-12, 00:08:39,122
2023-10-12, 00:08:42,122
2023-10-12, 00:08:42,122
2023-10-12, 00:08:42,122
2023-10-12, 00:08:44,122
2023-11-08, 00:08:48,148
2023-10-21, 00:08:49,129
2023-11-14, 00:08:49,31
2023-10-12, 00:08:50,122
2023-11-20, 00:08:50,94
2023-11-14, 00:08:51,31
2023-11-14, 00:08:51,31
2023-10-23, 00:08:54,94
2023-10-23, 00:08:54,94
2023-10-12, 00:09:00,122
2023-10-12, 00:09:00,122
